branch,period,age_group,virus,environment,n_months,rho_display,q_period,fdr05_period,status
minimal_corrected,2019,<1,MP,windlevel,10,0.4863244349440517,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,<1,MP,temp,10,0.516719712128055,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,<1,MP,humi,10,-0.5045616012544536,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,<1,MP,PM2.5,10,-0.4437710468864471,0.5323727615785966,False,computed_exploratory
minimal_corrected,2019,<1,MP,PM10,10,-0.085106776115209,0.9269509202144476,False,computed_exploratory
minimal_corrected,2019,<1,MP,NO2,10,-0.5714312110592608,0.3957587237841413,False,computed_exploratory
minimal_corrected,2019,<1,MP,SO2,10,-0.4133757697024439,0.5920079411490075,False,computed_exploratory
minimal_corrected,2019,<1,MP,O3,10,0.4620082131968491,0.5067603257585664,False,computed_exploratory
minimal_corrected,2019,<1,MP,CO,10,-0.4984825458176529,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,<1,MP,AQI,10,0.2553203283456271,0.7678093561111575,False,computed_exploratory
minimal_corrected,2019,<1,HMPV,windlevel,10,-0.6554771923189622,0.2867092899862984,False,computed_exploratory
minimal_corrected,2019,<1,HMPV,temp,10,-0.0887625364598594,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,<1,HMPV,humi,10,0.6759608545789297,0.2711034845169716,False,computed_exploratory
minimal_corrected,2019,<1,HMPV,PM2.5,10,0.075106761619881,0.9357019484477858,False,computed_exploratory
minimal_corrected,2019,<1,HMPV,PM10,10,-0.2526318345396,0.7682855501544334,False,computed_exploratory
minimal_corrected,2019,<1,HMPV,NO2,10,0.5325752187591567,0.4685093369339561,False,computed_exploratory
minimal_corrected,2019,<1,HMPV,SO2,10,0.0955904238798486,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,<1,HMPV,O3,10,-0.2935991590595351,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,<1,HMPV,CO,10,0.2935991590595351,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,<1,HMPV,AQI,10,-0.3550501458394378,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,<1,HBOV,windlevel,10,0.781631749350903,0.19707719493515,False,computed_exploratory
minimal_corrected,2019,<1,HBOV,temp,10,-0.0687835939428794,0.9364874875430452,False,computed_exploratory
minimal_corrected,2019,<1,HBOV,humi,10,-0.7316073173924452,0.2244849387741673,False,computed_exploratory
minimal_corrected,2019,<1,HBOV,PM2.5,10,0.1500732958753733,0.9166032341131534,False,computed_exploratory
minimal_corrected,2019,<1,HBOV,PM10,10,0.3939424016728551,0.6269449696727785,False,computed_exploratory
minimal_corrected,2019,<1,HBOV,NO2,10,-0.3439179697143973,0.6727781215503825,False,computed_exploratory
minimal_corrected,2019,<1,HBOV,SO2,10,0.2563752137870961,0.7678093561111575,False,computed_exploratory
minimal_corrected,2019,<1,HBOV,O3,10,0.1313141338909517,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,<1,HBOV,CO,10,0.2938935377559395,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,<1,HBOV,AQI,10,0.3564240777040118,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,1-3,FluA,windlevel,10,-0.0429480183397894,0.976277525494802,False,computed_exploratory
minimal_corrected,2019,1-3,FluA,temp,10,-0.5092407888860745,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,1-3,FluA,humi,10,-0.0061354311913984,1.0,False,computed_exploratory
minimal_corrected,2019,1-3,FluA,PM2.5,10,0.4356156145892926,0.5488967564382335,False,computed_exploratory
minimal_corrected,2019,1-3,FluA,PM10,10,0.263823541230135,0.7578634022361294,False,computed_exploratory
minimal_corrected,2019,1-3,FluA,NO2,10,0.717845449393623,0.2302004357800321,False,computed_exploratory
minimal_corrected,2019,1-3,FluA,SO2,10,0.2760944036129319,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,1-3,FluA,O3,10,-0.1533857797849622,0.9166032341131534,False,computed_exploratory
minimal_corrected,2019,1-3,FluA,CO,10,0.754658036542014,0.1979628325784954,False,computed_exploratory
minimal_corrected,2019,1-3,FluA,AQI,10,0.0674897431053833,0.9364874875430452,False,computed_exploratory
minimal_corrected,2019,1-3,FluB,windlevel,10,-0.73011631177642,0.2244849387741673,False,computed_exploratory
minimal_corrected,2019,1-3,FluB,temp,10,0.1043023302537743,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,1-3,FluB,humi,10,0.6074076879484503,0.366544479808899,False,computed_exploratory
minimal_corrected,2019,1-3,FluB,PM2.5,10,-0.1533857797849622,0.9166032341131534,False,computed_exploratory
minimal_corrected,2019,1-3,FluB,PM10,10,-0.5705951008000594,0.3957587237841413,False,computed_exploratory
minimal_corrected,2019,1-3,FluB,NO2,10,0.227010954081744,0.8096258519316172,False,computed_exploratory
minimal_corrected,2019,1-3,FluB,SO2,10,-0.3619904402925107,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,1-3,FluB,O3,10,-0.4969699265032775,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,1-3,FluB,CO,10,-0.263823541230135,0.7578634022361294,False,computed_exploratory
minimal_corrected,2019,1-3,FluB,AQI,10,-0.6319494127140443,0.3146579577750953,False,computed_exploratory
minimal_corrected,2019,1-3,RSV,windlevel,10,0.4181818181818181,0.5854400422728666,False,computed_exploratory
minimal_corrected,2019,1-3,RSV,temp,10,-0.3454545454545454,0.6722711680738849,False,computed_exploratory
minimal_corrected,2019,1-3,RSV,humi,10,-0.5515151515151515,0.4289282059958448,False,computed_exploratory
minimal_corrected,2019,1-3,RSV,PM2.5,10,0.6363636363636362,0.3114269271621352,False,computed_exploratory
minimal_corrected,2019,1-3,RSV,PM10,10,0.4424242424242424,0.5323727615785966,False,computed_exploratory
minimal_corrected,2019,1-3,RSV,NO2,10,0.0545454545454545,0.9570361073323638,False,computed_exploratory
minimal_corrected,2019,1-3,RSV,SO2,10,0.4666666666666666,0.496967420471618,False,computed_exploratory
minimal_corrected,2019,1-3,RSV,O3,10,0.4545454545454545,0.5124809316030071,False,computed_exploratory
minimal_corrected,2019,1-3,RSV,CO,10,0.7575757575757575,0.1979628325784954,False,computed_exploratory
minimal_corrected,2019,1-3,RSV,AQI,10,0.6969696969696969,0.2370241611101561,False,computed_exploratory
minimal_corrected,2019,1-3,ADV,windlevel,10,-0.6606060606060605,0.2778271385712868,False,computed_exploratory
minimal_corrected,2019,1-3,ADV,temp,10,0.5393939393939393,0.4516257264940869,False,computed_exploratory
minimal_corrected,2019,1-3,ADV,humi,10,0.709090909090909,0.2302004357800321,False,computed_exploratory
minimal_corrected,2019,1-3,ADV,PM2.5,10,-0.5636363636363636,0.4013969687869872,False,computed_exploratory
minimal_corrected,2019,1-3,ADV,PM10,10,-0.7818181818181817,0.19707719493515,False,computed_exploratory
minimal_corrected,2019,1-3,ADV,NO2,10,-0.0303030303030303,0.9890430085732392,False,computed_exploratory
minimal_corrected,2019,1-3,ADV,SO2,10,-0.6969696969696969,0.2370241611101561,False,computed_exploratory
minimal_corrected,2019,1-3,ADV,O3,10,-0.5272727272727272,0.4687573724119506,False,computed_exploratory
minimal_corrected,2019,1-3,ADV,CO,10,-0.6363636363636362,0.3114269271621352,False,computed_exploratory
minimal_corrected,2019,1-3,ADV,AQI,10,-0.7696969696969697,0.19707719493515,False,computed_exploratory
minimal_corrected,2019,1-3,PIV,windlevel,10,-0.3212121212121211,0.726662137714315,False,computed_exploratory
minimal_corrected,2019,1-3,PIV,temp,10,-0.0909090909090908,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,1-3,PIV,humi,10,0.2969696969696969,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,1-3,PIV,PM2.5,10,-0.2242424242424242,0.8096258519316172,False,computed_exploratory
minimal_corrected,2019,1-3,PIV,PM10,10,-0.1515151515151515,0.9166032341131534,False,computed_exploratory
minimal_corrected,2019,1-3,PIV,NO2,10,0.0424242424242424,0.976277525494802,False,computed_exploratory
minimal_corrected,2019,1-3,PIV,SO2,10,-0.103030303030303,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,1-3,PIV,O3,10,-0.2969696969696969,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,1-3,PIV,CO,10,-0.406060606060606,0.5975250358953451,False,computed_exploratory
minimal_corrected,2019,1-3,PIV,AQI,10,-0.406060606060606,0.5975250358953451,False,computed_exploratory
minimal_corrected,2019,1-3,HRV,windlevel,10,0.6363636363636362,0.3114269271621352,False,computed_exploratory
minimal_corrected,2019,1-3,HRV,temp,10,-0.2242424242424242,0.8096258519316172,False,computed_exploratory
minimal_corrected,2019,1-3,HRV,humi,10,-0.8303030303030302,0.1428110268450046,False,computed_exploratory
minimal_corrected,2019,1-3,HRV,PM2.5,10,0.2727272727272727,0.73943920060749,False,computed_exploratory
minimal_corrected,2019,1-3,HRV,PM10,10,0.6848484848484848,0.2584250303233983,False,computed_exploratory
minimal_corrected,2019,1-3,HRV,NO2,10,-0.2121212121212121,0.8280252908267199,False,computed_exploratory
minimal_corrected,2019,1-3,HRV,SO2,10,0.3212121212121211,0.726662137714315,False,computed_exploratory
minimal_corrected,2019,1-3,HRV,O3,10,0.7575757575757575,0.1979628325784954,False,computed_exploratory
minimal_corrected,2019,1-3,HRV,CO,10,0.1151515151515151,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,1-3,HRV,AQI,10,0.6969696969696969,0.2370241611101561,False,computed_exploratory
minimal_corrected,2019,1-3,MP,windlevel,10,-0.0181818181818181,0.99537116513333,False,computed_exploratory
minimal_corrected,2019,1-3,MP,temp,10,0.9636363636363636,0.0024891314352401,True,computed_exploratory
minimal_corrected,2019,1-3,MP,humi,10,0.2121212121212121,0.8280252908267199,False,computed_exploratory
minimal_corrected,2019,1-3,MP,PM2.5,10,-0.8060606060606059,0.1836778638519962,False,computed_exploratory
minimal_corrected,2019,1-3,MP,PM10,10,-0.7454545454545454,0.2119109485241996,False,computed_exploratory
minimal_corrected,2019,1-3,MP,NO2,10,-0.6,0.3670504218751866,False,computed_exploratory
minimal_corrected,2019,1-3,MP,SO2,10,-0.7939393939393938,0.1885430842415409,False,computed_exploratory
minimal_corrected,2019,1-3,MP,O3,10,-0.1272727272727272,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,1-3,MP,CO,10,-0.6363636363636362,0.3114269271621352,False,computed_exploratory
minimal_corrected,2019,1-3,MP,AQI,10,-0.3696969696969697,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,1-3,HMPV,windlevel,10,-0.5951368255656533,0.3670504218751866,False,computed_exploratory
minimal_corrected,2019,1-3,HMPV,temp,10,-0.3129069907613228,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,1-3,HMPV,humi,10,0.4601573393548865,0.5081262653717917,False,computed_exploratory
minimal_corrected,2019,1-3,HMPV,PM2.5,10,0.3129069907613228,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,1-3,HMPV,PM10,10,-0.0184062935741954,0.99537116513333,False,computed_exploratory
minimal_corrected,2019,1-3,HMPV,NO2,10,0.6810328622452321,0.2628538607907224,False,computed_exploratory
minimal_corrected,2019,1-3,HMPV,SO2,10,0.0061354311913984,1.0,False,computed_exploratory
minimal_corrected,2019,1-3,HMPV,O3,10,-0.1901983669333531,0.8649176302792283,False,computed_exploratory
minimal_corrected,2019,1-3,HMPV,CO,10,0.2760944036129319,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,1-3,HMPV,AQI,10,-0.2024692293161501,0.8421305982905984,False,computed_exploratory
minimal_corrected,2019,1-3,HBOV,windlevel,10,0.9264501099011716,0.0199021111701457,True,computed_exploratory
minimal_corrected,2019,1-3,HBOV,temp,10,0.0920314678709773,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,1-3,HBOV,humi,10,-0.8405540732215928,0.1315674738384987,False,computed_exploratory
minimal_corrected,2019,1-3,HBOV,PM2.5,10,-0.0674897431053833,0.9364874875430452,False,computed_exploratory
minimal_corrected,2019,1-3,HBOV,PM10,10,0.3619904402925107,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,1-3,HBOV,NO2,10,-0.5951368255656533,0.3670504218751866,False,computed_exploratory
minimal_corrected,2019,1-3,HBOV,SO2,10,0.1043023302537743,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,1-3,HBOV,O3,10,0.4110738898236986,0.5948546654188264,False,computed_exploratory
minimal_corrected,2019,1-3,HBOV,CO,10,0.0184062935741954,0.99537116513333,False,computed_exploratory
minimal_corrected,2019,1-3,HBOV,AQI,10,0.5460533760344654,0.4387819196507574,False,computed_exploratory
minimal_corrected,2019,4-12,FluA,windlevel,10,0.0452555728684665,0.975828084551524,False,computed_exploratory
minimal_corrected,2019,4-12,FluA,temp,10,-0.7434844114105212,0.2119109485241996,False,computed_exploratory
minimal_corrected,2019,4-12,FluA,humi,10,-0.1486968822821042,0.9166032341131534,False,computed_exploratory
minimal_corrected,2019,4-12,FluA,PM2.5,10,0.5883224472900647,0.3749017961513988,False,computed_exploratory
minimal_corrected,2019,4-12,FluA,PM10,10,0.4978113015531316,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,4-12,FluA,NO2,10,0.7693447387639306,0.19707719493515,False,computed_exploratory
minimal_corrected,2019,4-12,FluA,SO2,10,0.5236716289065411,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,4-12,FluA,O3,10,-0.1099063912519901,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,FluA,CO,10,0.7952050661173402,0.1885430842415409,False,computed_exploratory
minimal_corrected,2019,4-12,FluA,AQI,10,0.1486968822821042,0.9166032341131534,False,computed_exploratory
minimal_corrected,2019,4-12,FluB,windlevel,10,-0.5030303030303029,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,4-12,FluB,temp,10,-0.1151515151515151,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,FluB,humi,10,0.4181818181818181,0.5854400422728666,False,computed_exploratory
minimal_corrected,2019,4-12,FluB,PM2.5,10,-0.0181818181818181,0.99537116513333,False,computed_exploratory
minimal_corrected,2019,4-12,FluB,PM10,10,-0.3696969696969697,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,4-12,FluB,NO2,10,0.1999999999999999,0.8421305982905984,False,computed_exploratory
minimal_corrected,2019,4-12,FluB,SO2,10,-0.1515151515151515,0.9166032341131534,False,computed_exploratory
minimal_corrected,2019,4-12,FluB,O3,10,-0.6242424242424242,0.3261435866756592,False,computed_exploratory
minimal_corrected,2019,4-12,FluB,CO,10,-0.1272727272727272,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,FluB,AQI,10,-0.5878787878787878,0.3749017961513988,False,computed_exploratory
minimal_corrected,2019,4-12,RSV,windlevel,10,0.3653767083500618,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,4-12,RSV,temp,10,-0.037283337586741,0.979025174995656,False,computed_exploratory
minimal_corrected,2019,4-12,RSV,humi,10,-0.3802900433847582,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,4-12,RSV,PM2.5,10,0.2908100331765798,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,4-12,RSV,PM10,10,0.1565900178643122,0.9166032341131534,False,computed_exploratory
minimal_corrected,2019,4-12,RSV,NO2,10,-0.0820233426908302,0.9313463833442784,False,computed_exploratory
minimal_corrected,2019,4-12,RSV,SO2,10,0.3057233682112762,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,4-12,RSV,O3,10,-0.0671100076561338,0.9364874875430452,False,computed_exploratory
