Age_Group,rate_display_pct,virus,branch,phase
13-17,4.249667994687915,ADV,minimal_corrected,phase2
18-44,1.9047619047619049,ADV,minimal_corrected,phase2
45-59,1.4991005396761945,ADV,minimal_corrected,phase2
60-74,1.0886270491803278,ADV,minimal_corrected,phase2
75-89,0.6529453513129879,ADV,minimal_corrected,phase2
>=90,0.417641162712997,ADV,minimal_corrected,phase2
<1,8.157319737800437,PIV,minimal_corrected,phase2
1-3,8.41645885286783,PIV,minimal_corrected,phase2
4-12,4.258390472753519,PIV,minimal_corrected,phase2
13-17,1.36986301369863,PIV,minimal_corrected,phase2
18-44,1.0668855149774312,PIV,minimal_corrected,phase2
45-59,1.3913663931501965,PIV,minimal_corrected,phase2
60-74,1.4311676510676965,PIV,minimal_corrected,phase2
75-89,1.0258433616097848,PIV,minimal_corrected,phase2
>=90,0.589622641509434,PIV,minimal_corrected,phase2
<1,21.5962441314554,HRV,minimal_corrected,phase2
1-3,26.86846038863976,HRV,minimal_corrected,phase2
4-12,21.824793747286147,HRV,minimal_corrected,phase2
13-17,11.584553928095872,HRV,minimal_corrected,phase2
18-44,7.74374460742019,HRV,minimal_corrected,phase2
45-59,5.750863645600488,HRV,minimal_corrected,phase2
60-74,6.336659323571336,HRV,minimal_corrected,phase2
75-89,4.263233190271817,HRV,minimal_corrected,phase2
>=90,2.9264214046822743,HRV,minimal_corrected,phase2
<1,3.539445628997868,MP,minimal_corrected,phase2
1-3,11.84493227463802,MP,minimal_corrected,phase2
4-12,31.592363596919405,MP,minimal_corrected,phase2
13-17,10.358565737051793,MP,minimal_corrected,phase2
18-44,4.422344477359289,MP,minimal_corrected,phase2
45-59,1.279744051189762,MP,minimal_corrected,phase2
60-74,0.7941590879979507,MP,minimal_corrected,phase2
75-89,0.5390835579514826,MP,minimal_corrected,phase2
>=90,0.417641162712997,MP,minimal_corrected,phase2
<1,2.7716994894237783,HMPV,minimal_corrected,phase2
1-3,4.903185509056839,HMPV,minimal_corrected,phase2
4-12,2.8281363306744014,HMPV,minimal_corrected,phase2
13-17,1.662049861495845,HMPV,minimal_corrected,phase2
18-44,1.1869436201780417,HMPV,minimal_corrected,phase2
45-59,1.3548150860490664,HMPV,minimal_corrected,phase2
60-74,1.2009237875288683,HMPV,minimal_corrected,phase2
75-89,0.8567443713887228,HMPV,minimal_corrected,phase2
>=90,0.4329004329004329,HMPV,minimal_corrected,phase2
<1,1.859278162595698,HBOV,minimal_corrected,phase2
1-3,5.68039950062422,HBOV,minimal_corrected,phase2
4-12,0.7251631617113851,HBOV,minimal_corrected,phase2
13-17,0.2770083102493075,HBOV,minimal_corrected,phase2
18-44,0.1695633743111488,HBOV,minimal_corrected,phase2
45-59,0.0732600732600732,HBOV,minimal_corrected,phase2
60-74,0.161662817551963,HBOV,minimal_corrected,phase2
75-89,0.0996214385335724,HBOV,minimal_corrected,phase2
>=90,0.0983864620228256,HBOV,minimal_corrected,phase2
