Year,Month,rate_display_pct,virus,branch,phase
2020,8,0.0,FluB,minimal_corrected,phase2
2020,9,0.0,FluB,minimal_corrected,phase2
2020,10,0.0,FluB,minimal_corrected,phase2
2020,11,0.0,FluB,minimal_corrected,phase2
2020,12,0.0,FluB,minimal_corrected,phase2
2021,1,0.0,FluB,minimal_corrected,phase2
2021,2,0.0,FluB,minimal_corrected,phase2
2021,3,0.0,FluB,minimal_corrected,phase2
2021,4,1.015228426395939,FluB,minimal_corrected,phase2
2021,5,0.5524861878453038,FluB,minimal_corrected,phase2
2021,6,0.6944444444444444,FluB,minimal_corrected,phase2
2021,7,2.1739130434782608,FluB,minimal_corrected,phase2
2021,8,1.4545454545454546,FluB,minimal_corrected,phase2
2021,9,3.007518796992481,FluB,minimal_corrected,phase2
2021,10,0.7575757575757576,FluB,minimal_corrected,phase2
2021,11,0.4405286343612335,FluB,minimal_corrected,phase2
2021,12,3.5830618892508146,FluB,minimal_corrected,phase2
2022,1,10.512129380053908,FluB,minimal_corrected,phase2
2022,2,3.435114503816794,FluB,minimal_corrected,phase2
2022,3,4.6938775510204085,FluB,minimal_corrected,phase2
2022,4,1.8050541516245489,FluB,minimal_corrected,phase2
2022,5,0.9950248756218906,FluB,minimal_corrected,phase2
2022,6,0.4297994269340974,FluB,minimal_corrected,phase2
2022,7,0.0,FluB,minimal_corrected,phase2
2022,8,0.0,FluB,minimal_corrected,phase2
2022,9,0.0,FluB,minimal_corrected,phase2
2022,10,0.2145922746781116,FluB,minimal_corrected,phase2
2022,11,0.7309941520467835,FluB,minimal_corrected,phase2
2022,12,0.1607717041800643,FluB,minimal_corrected,phase2
2023,1,0.1310615989515072,FluB,minimal_corrected,phase2
2023,2,0.0,FluB,minimal_corrected,phase2
2023,3,0.0952380952380952,FluB,minimal_corrected,phase2
2023,4,0.0,FluB,minimal_corrected,phase2
2023,5,0.0,FluB,minimal_corrected,phase2
2023,6,0.0692041522491349,FluB,minimal_corrected,phase2
2023,7,0.0,FluB,minimal_corrected,phase2
2023,8,0.0,FluB,minimal_corrected,phase2
2023,9,0.727994705493051,FluB,minimal_corrected,phase2
2023,10,3.451075923670321,FluB,minimal_corrected,phase2
2023,11,13.442344446803991,FluB,minimal_corrected,phase2
2023,12,21.82361733931241,FluB,minimal_corrected,phase2
2024,1,7.34632683658171,FluB,minimal_corrected,phase2
2024,2,6.930693069306932,FluB,minimal_corrected,phase2
2024,3,2.2257551669316373,FluB,minimal_corrected,phase2
2024,4,0.7029876977152899,FluB,minimal_corrected,phase2
2024,5,0.5847953216374269,FluB,minimal_corrected,phase2
2024,6,0.0,FluB,minimal_corrected,phase2
2024,7,0.4716981132075472,FluB,minimal_corrected,phase2
2024,8,0.0,FluB,minimal_corrected,phase2
2024,9,0.0,FluB,minimal_corrected,phase2
2024,10,0.0,FluB,minimal_corrected,phase2
2024,11,0.0,FluB,minimal_corrected,phase2
2024,12,0.0,FluB,minimal_corrected,phase2
2025,1,0.0902527075812274,FluB,minimal_corrected,phase2
2025,2,0.1067235859124866,FluB,minimal_corrected,phase2
2025,3,0.1933301111648139,FluB,minimal_corrected,phase2
2025,4,0.2955665024630542,FluB,minimal_corrected,phase2
2025,5,0.4897159647404506,FluB,minimal_corrected,phase2
2025,6,1.1935651271406331,FluB,minimal_corrected,phase2
2025,7,0.89171974522293,FluB,minimal_corrected,phase2
2025,8,1.5384615384615383,FluB,minimal_corrected,phase2
