Year,Month,Age_Group,rate_display_pct,branch
2020,4,13-17,0.0,minimal_corrected
2020,4,18-44,0.0,minimal_corrected
2020,4,45-59,0.0,minimal_corrected
2020,4,60-74,0.0,minimal_corrected
2020,4,75-89,0.0,minimal_corrected
2020,4,>=90,0.0,minimal_corrected
2020,5,<1,0.0,minimal_corrected
2020,5,1-3,0.0,minimal_corrected
2020,5,4-12,0.0,minimal_corrected
2020,5,13-17,0.0,minimal_corrected
2020,5,18-44,0.0,minimal_corrected
2020,5,45-59,0.0,minimal_corrected
2020,5,60-74,0.0,minimal_corrected
2020,5,75-89,0.0,minimal_corrected
2020,5,>=90,0.0,minimal_corrected
2020,6,<1,0.0,minimal_corrected
2020,6,1-3,2.7777777777777777,minimal_corrected
2020,6,4-12,0.0,minimal_corrected
2020,6,13-17,0.0,minimal_corrected
2020,6,18-44,0.0,minimal_corrected
2020,6,45-59,0.0,minimal_corrected
2020,6,60-74,0.0,minimal_corrected
2020,6,75-89,0.0,minimal_corrected
2020,6,>=90,0.0,minimal_corrected
2020,7,<1,0.0,minimal_corrected
2020,7,1-3,0.0,minimal_corrected
2020,7,4-12,0.0,minimal_corrected
2020,7,13-17,0.0,minimal_corrected
2020,7,18-44,0.0,minimal_corrected
2020,7,45-59,0.0,minimal_corrected
2020,7,60-74,0.0,minimal_corrected
2020,7,75-89,0.0,minimal_corrected
2020,7,>=90,0.0,minimal_corrected
2020,8,<1,0.0,minimal_corrected
2020,8,1-3,0.0,minimal_corrected
2020,8,4-12,9.090909090909092,minimal_corrected
2020,8,13-17,0.0,minimal_corrected
2020,8,18-44,0.0,minimal_corrected
2020,8,45-59,0.0,minimal_corrected
2020,8,60-74,0.0,minimal_corrected
2020,8,75-89,0.0,minimal_corrected
2020,8,>=90,0.0,minimal_corrected
2020,9,<1,7.894736842105263,minimal_corrected
2020,9,1-3,12.195121951219512,minimal_corrected
2020,9,4-12,4.0,minimal_corrected
2020,9,13-17,0.0,minimal_corrected
2020,9,18-44,5.88235294117647,minimal_corrected
2020,9,45-59,0.0,minimal_corrected
2020,9,60-74,0.0,minimal_corrected
2020,9,75-89,0.0,minimal_corrected
2020,9,>=90,0.0,minimal_corrected
2020,10,<1,9.67741935483871,minimal_corrected
2020,10,1-3,23.07692307692308,minimal_corrected
2020,10,4-12,9.090909090909092,minimal_corrected
2020,10,13-17,0.0,minimal_corrected
2020,10,18-44,14.285714285714285,minimal_corrected
2020,10,45-59,9.090909090909092,minimal_corrected
2020,10,60-74,0.0,minimal_corrected
2020,10,75-89,0.0,minimal_corrected
2020,10,>=90,0.0,minimal_corrected
2020,11,<1,18.51851851851852,minimal_corrected
2020,11,1-3,23.684210526315788,minimal_corrected
2020,11,4-12,0.0,minimal_corrected
2020,11,13-17,0.0,minimal_corrected
2020,11,18-44,0.0,minimal_corrected
2020,11,45-59,0.0,minimal_corrected
2020,11,60-74,0.0,minimal_corrected
2020,11,75-89,0.0,minimal_corrected
2020,11,>=90,0.0,minimal_corrected
2020,12,<1,21.052631578947366,minimal_corrected
2020,12,1-3,20.51282051282051,minimal_corrected
2020,12,4-12,16.666666666666664,minimal_corrected
2020,12,13-17,0.0,minimal_corrected
2020,12,18-44,0.0,minimal_corrected
2020,12,45-59,0.0,minimal_corrected
2020,12,60-74,0.0,minimal_corrected
2020,12,75-89,1.7543859649122806,minimal_corrected
2020,12,>=90,0.0,minimal_corrected
2021,1,<1,0.0,minimal_corrected
2021,1,1-3,15.0,minimal_corrected
2021,1,4-12,6.25,minimal_corrected
2021,1,13-17,0.0,minimal_corrected
2021,1,18-44,5.88235294117647,minimal_corrected
2021,1,45-59,0.0,minimal_corrected
2021,1,60-74,0.0,minimal_corrected
2021,1,75-89,0.0,minimal_corrected
2021,1,>=90,0.0,minimal_corrected
2021,2,<1,0.0,minimal_corrected
2021,2,1-3,12.5,minimal_corrected
2021,2,4-12,0.0,minimal_corrected
2021,2,13-17,0.0,minimal_corrected
2021,2,18-44,0.0,minimal_corrected
