branch,virus,lag,rf_rmse_common,rf_r2_common,best_baseline,best_baseline_rmse_common,best_baseline_r2_common,delta_r2_rf_minus_best,selected_by_training_cv,legacy_test_selected
minimal_corrected,FluA,0,3.677198646383412,0.7473156501952825,Persistence,2.8752040187935703,0.8455167153763249,-0.0982010651810424,True,False
minimal_corrected,FluA,1,3.4774138152733483,0.7703917966465563,Persistence,2.8432480314803983,0.8465014970501585,-0.0761097004036022,False,True
minimal_corrected,FluA,2,4.969207472098414,0.5370867216747338,Persistence,2.9102879226147773,0.8412194531810945,-0.3041327315063606,False,False
minimal_corrected,FluA,3,6.642977056180103,0.1882886198656235,Persistence,2.881749500387765,0.8472474099016254,-0.6589587900360019,False,False
minimal_corrected,FluA,4,7.539902794851715,-0.0096179045041375,Persistence,2.869026269954705,0.853817764349508,-0.8634356688536455,False,False
minimal_corrected,FluB,0,1.184238367788074,-0.2458172746659062,Persistence,0.7304865167433141,0.5259758132505714,-0.7717930879164776,True,False
minimal_corrected,FluB,1,1.165262288203211,-0.2276780798319964,Persistence,0.7230677529208354,0.527289656151475,-0.7549677359834714,False,True
minimal_corrected,FluB,2,1.4048035868890083,-0.7490219074190061,Persistence,0.7280734254111044,0.5301985058419614,-1.2792204132609677,False,False
minimal_corrected,FluB,3,1.6109574353290603,-1.353027003234757,Persistence,0.7554161092976558,0.4825942345645133,-1.8356212377992709,False,False
minimal_corrected,FluB,4,1.6485739981716552,-1.5197830279218951,Persistence,0.7469763695827492,0.4826791512880545,-2.00246217920995,False,False
minimal_corrected,RSV,0,3.839794929900688,0.7988260533621943,Persistence,3.022340637898412,0.8753642889687756,-0.0765382356065813,False,True
minimal_corrected,RSV,1,3.905939937305402,0.7870990774957748,Persistence,3.210461847872057,0.8561660364252148,-0.06906695892944,False,False
minimal_corrected,RSV,2,4.982331430265243,0.6453420429530057,Persistence,3.188702431317221,0.8547311608605714,-0.2093891179075657,True,False
minimal_corrected,RSV,3,5.866748814526478,0.4989098506154998,Persistence,3.200464525196473,0.8508762170561462,-0.3519663664406464,False,False
minimal_corrected,RSV,4,6.349902066875686,0.4043252631868856,Persistence,3.1718769546471863,0.851369550885823,-0.4470442876989373,False,False
minimal_corrected,ADV,0,2.1920287944157755,-1.852090154662441,Persistence,1.7550799729772977,-0.8283719971491434,-1.0237181575132976,True,False
minimal_corrected,ADV,1,2.131368754876903,-1.7591898517976872,Persistence,1.739053443459304,-0.8369200377113315,-0.9222698140863556,False,True
minimal_corrected,ADV,2,2.2673595181463124,-2.190187370148416,Persistence,1.7216190523835315,-0.839287142198347,-1.3509002279500684,False,False
minimal_corrected,ADV,3,2.969772807031145,-4.46679021867658,Persistence,1.720942486229918,-0.8357716938828197,-3.631018524793761,False,False
minimal_corrected,ADV,4,3.519772741002494,-6.849908839093176,Persistence,1.7158269609167354,-0.8654445381690923,-5.984464300924083,False,False
minimal_corrected,PIV,0,2.972581887455178,-0.0062667036016292,Seasonal_Naive,2.8769968714514857,0.0574069628375149,-0.0636736664391441,False,False
minimal_corrected,PIV,1,3.219385720288443,-0.192640658354293,Seasonal_Naive,2.889283821496406,0.039396874088729,-0.232037532443022,True,False
minimal_corrected,PIV,2,2.991984975919026,-0.0301071481549495,Seasonal_Naive,2.8759833970407063,0.048220529236334,-0.0783276773912835,False,False
minimal_corrected,PIV,3,3.0703377593709096,-0.0964449928359028,Seasonal_Naive,2.869432685795684,0.0423504180131848,-0.1387954108490876,False,False
minimal_corrected,PIV,4,2.8819122706707896,0.0093650706966036,Seasonal_Naive,2.86354311231081,0.0219533346072947,-0.0125882639106911,False,True
minimal_corrected,HRV,0,4.068265150234525,0.5139562995915457,Persistence,3.6901174717723735,0.600113077783246,-0.0861567781917003,False,False
minimal_corrected,HRV,1,4.113182961665451,0.5285180412634494,Persistence,3.6461910647156968,0.6295002939334156,-0.1009822526699661,False,True
minimal_corrected,HRV,2,5.136577022853774,0.3186845659333333,Persistence,3.620802868862229,0.6614596964874773,-0.342775130554144,False,False
minimal_corrected,HRV,3,6.401620363895883,0.0962295901576335,Persistence,3.6899943166085007,0.6997177360805871,-0.6034881459229535,True,False
minimal_corrected,HRV,4,7.189317845472165,-0.0425563900547776,Persistence,3.666663264694048,0.7288146399545807,-0.7713710300093584,False,False
minimal_corrected,MP,0,1.945851789916484,-0.6573430425037123,Persistence,2.017765967247999,-0.782109882332729,0.1247668398290167,False,False
minimal_corrected,MP,1,1.812910148645348,-0.4735014742211991,Persistence,1.998598968562016,-0.7908092636895077,0.3173077894683085,True,False
minimal_corrected,MP,2,1.8245222516982045,-0.5237507570435553,Persistence,1.9761776286424229,-0.7875885441417951,0.2638377870982398,False,False
minimal_corrected,MP,3,2.1749518639347003,-1.2151800680113,Persistence,1.9560083189184343,-0.791641571641559,-0.4235384963697408,False,False
minimal_corrected,MP,4,1.6651073470989022,-0.325880567201843,Persistence,1.935689379585957,-0.7918071519409193,0.4659265847390763,False,True
minimal_corrected,HMPV,0,2.9678340517419386,-0.0389500308530794,Seasonal_Naive,3.645555101814157,-0.5676271165003917,0.5286770856473122,False,False
minimal_corrected,HMPV,1,2.9807409718816205,-0.0704067155039589,Seasonal_Naive,3.5945658060030663,-0.5566580719922023,0.4862513564882433,False,False
minimal_corrected,HMPV,2,2.8861190338720446,0.0430964244862176,Persistence,3.3169957991115098,-0.2639489759493985,0.3070454004356161,False,True
minimal_corrected,HMPV,3,2.7355113211562188,-0.3310032161273637,Seasonal_Naive,2.9233446670161,-0.5200648506630434,0.1890616345356797,False,False
minimal_corrected,HMPV,4,3.0360879977311725,-0.1318861845855312,Seasonal_Naive,3.5229135430874563,-0.5239756204069079,0.3920894358213767,True,False
minimal_corrected,HBOV,0,1.7455103339583866,-0.3590838453983735,Seasonal_Naive,1.2757615744646589,0.2739936218944536,-0.6330774672928272,False,False
minimal_corrected,HBOV,1,1.8640706920365235,-0.5912944221759988,Seasonal_Naive,1.4118325879380935,0.0871652006014332,-0.6784596227774321,False,False
minimal_corrected,HBOV,2,1.588983363158803,-0.0962518779515388,Seasonal_Naive,1.4858504234857048,0.0414344100400154,-0.1376862879915543,False,False
minimal_corrected,HBOV,3,1.5402048284355274,-0.058177109807086,Seasonal_Naive,1.4485598695872666,0.0640033364697895,-0.1221804462768755,True,True
minimal_corrected,HBOV,4,1.951925258462578,-0.281132386537108,Seasonal_Naive,1.7382384386477496,-0.0159827659922746,-0.2651496205448334,False,False
