branch,period,age_group,virus,environment,n_months,rho_display,q_period,fdr05_period,status
minimal_corrected,2023-2025,<1,FluA,windlevel,24,0.2174693223847669,0.6101158200690326,False,computed
minimal_corrected,2023-2025,<1,FluA,temp,24,-0.426204937043238,0.2252203168886163,False,computed
minimal_corrected,2023-2025,<1,FluA,humi,24,-0.5074284188977896,0.1119681574840248,False,computed
minimal_corrected,2023-2025,<1,FluA,PM2.5,25,0.3667981007995393,0.3174199010163608,False,computed
minimal_corrected,2023-2025,<1,FluA,PM10,25,0.2996161328636237,0.4255047776963006,False,computed
minimal_corrected,2023-2025,<1,FluA,NO2,25,0.2672348549483472,0.4879078048655602,False,computed
minimal_corrected,2023-2025,<1,FluA,SO2,25,0.1579466122454826,0.7032741904532792,False,computed
minimal_corrected,2023-2025,<1,FluA,O3,25,0.3389986657915743,0.370495622649387,False,computed
minimal_corrected,2023-2025,<1,FluA,CO,25,0.355987209407553,0.3388674525734157,False,computed
minimal_corrected,2023-2025,<1,FluA,AQI,25,0.3135158503676063,0.4105846375563101,False,computed
minimal_corrected,2023-2025,<1,FluB,windlevel,24,0.1823564958336613,0.6809695448617374,False,computed
minimal_corrected,2023-2025,<1,FluB,temp,24,-0.047661356865616,0.90867262612979,False,computed
minimal_corrected,2023-2025,<1,FluB,humi,24,-0.1621522249884545,0.7019173129727535,False,computed
minimal_corrected,2023-2025,<1,FluB,PM2.5,25,-0.1095791441093254,0.7980485298915002,False,computed
minimal_corrected,2023-2025,<1,FluB,PM10,25,-0.1773696315667895,0.6839264156856936,False,computed
minimal_corrected,2023-2025,<1,FluB,NO2,25,0.0320441330256806,0.9355129441046612,False,computed
minimal_corrected,2023-2025,<1,FluB,SO2,25,0.2122343303295077,0.6101158200690326,False,computed
minimal_corrected,2023-2025,<1,FluB,O3,25,-0.1197941490686693,0.7774076239240375,False,computed
minimal_corrected,2023-2025,<1,FluB,CO,25,0.2516605767256543,0.5281634453088183,False,computed
minimal_corrected,2023-2025,<1,FluB,AQI,25,-0.1244373331410984,0.7732970652923236,False,computed
minimal_corrected,2023-2025,<1,RSV,windlevel,24,-0.2930434782608695,0.4426934445380481,False,computed
minimal_corrected,2023-2025,<1,RSV,temp,24,0.8530434782608695,2.3127644673888773e-05,True,computed
minimal_corrected,2023-2025,<1,RSV,humi,24,0.6886956521739129,0.0062081552961929,True,computed
minimal_corrected,2023-2025,<1,RSV,PM2.5,25,-0.6799999999999999,0.0062081552961929,True,computed
minimal_corrected,2023-2025,<1,RSV,PM10,25,-0.6484615384615384,0.0107567101574658,True,computed
minimal_corrected,2023-2025,<1,RSV,NO2,25,-0.7051356160443438,0.0033973287551504,True,computed
minimal_corrected,2023-2025,<1,RSV,SO2,25,-0.491248326071264,0.1187868143395008,False,computed
minimal_corrected,2023-2025,<1,RSV,O3,25,-0.0769230769230769,0.8603628920295875,False,computed
