period,age_group,pathogen,environment,n_months,rho,p_value,q_period,q_age_panel,low_n,status
2019,<1,RSV,PM2.5,10,0.6363636363636362,0.0479117261299754,0.3114269271621352,0.3971942359795147,False,computed_exploratory
2019,<1,RSV,PM10,10,0.5272727272727272,0.1173080655502022,0.4687573724119506,0.4542832350490944,False,computed_exploratory
2019,<1,RSV,NO2,10,0.1636363636363636,0.6514773427962428,0.9166032341131534,0.8258163500234064,False,computed_exploratory
2019,<1,RSV,SO2,10,0.4424242424242424,0.2004226867119422,0.5323727615785966,0.4746853106335474,False,computed_exploratory
2019,<1,RSV,O3,10,0.5636363636363636,0.0897240283170912,0.4013969687869872,0.4486201415854564,False,computed_exploratory
2019,<1,RSV,CO,10,0.6969696969696969,0.0250966758822518,0.2370241611101561,0.3963334302751772,False,computed_exploratory
2019,<1,RSV,AQI,10,0.7696969696969697,0.0092219527222159,0.19707719493515,0.3690525101479576,False,computed_exploratory
2019,<1,ADV,windlevel,10,-0.5151515151515151,0.1275528697032342,0.4693828677430339,0.4542832350490944,False,computed_exploratory
2019,<1,ADV,temp,10,0.3696969696969697,0.2930500752928223,0.6550787393344795,0.5542102137276133,False,computed_exploratory
2019,<1,ADV,humi,10,0.4666666666666666,0.1739385971650663,0.496967420471618,0.4734439029578303,False,computed_exploratory
2019,<1,ADV,PM2.5,10,-0.4545454545454545,0.186904810349332,0.5124809316030071,0.4746853106335474,False,computed_exploratory
2019,<1,ADV,PM10,10,-0.4424242424242424,0.2004226867119422,0.5323727615785966,0.4746853106335474,False,computed_exploratory
2019,<1,ADV,NO2,10,-0.006060606060606,0.9867429111949892,1.0,0.9867429111949892,False,computed_exploratory
2019,<1,ADV,SO2,10,-0.406060606060606,0.2442822940866263,0.5975250358953451,0.536229426043814,False,computed_exploratory
2019,<1,ADV,O3,10,-0.2242424242424242,0.5334005612725948,0.8096258519316172,0.7165082166348289,False,computed_exploratory
2019,<1,ADV,CO,10,-0.5151515151515151,0.1275528697032342,0.4693828677430339,0.4542832350490944,False,computed_exploratory
2019,<1,ADV,AQI,10,-0.5757575757575757,0.0815528147726023,0.3905346059533071,0.4468863243312546,False,computed_exploratory
2019,<1,PIV,windlevel,10,-0.5757575757575757,0.0815528147726023,0.3905346059533071,0.4468863243312546,False,computed_exploratory
2019,<1,PIV,temp,10,0.1151515151515151,0.7514196523258484,0.9211427661583907,0.8560477051813463,False,computed_exploratory
2019,<1,PIV,humi,10,0.4787878787878787,0.1615229280174558,0.4693828677430339,0.4542832350490944,False,computed_exploratory
2019,<1,PIV,PM2.5,10,-0.1272727272727272,0.7260570147627894,0.9211427661583907,0.8560477051813463,False,computed_exploratory
2019,<1,PIV,PM10,10,-0.3696969696969697,0.2930500752928223,0.6550787393344795,0.5542102137276133,False,computed_exploratory
2019,<1,PIV,NO2,10,-0.1393939393939393,0.7009318849100584,0.9166032341131534,0.8560477051813463,False,computed_exploratory
2019,<1,PIV,SO2,10,-0.2121212121212121,0.5563057751029299,0.8280252908267199,0.7267515605476529,False,computed_exploratory
2019,<1,PIV,O3,10,-0.2242424242424242,0.5334005612725948,0.8096258519316172,0.7165082166348289,False,computed_exploratory
2019,<1,PIV,CO,10,-0.4787878787878787,0.1615229280174558,0.4693828677430339,0.4542832350490944,False,computed_exploratory
2019,<1,PIV,AQI,10,-0.3939393939393939,0.2599977668348875,0.6269449696727785,0.5441813724451134,False,computed_exploratory
2019,<1,HRV,windlevel,10,0.4909090909090908,0.1496556734208367,0.4693828677430339,0.4542832350490944,False,computed_exploratory
2019,<1,HRV,temp,10,-0.2242424242424242,0.5334005612725948,0.8096258519316172,0.7165082166348289,False,computed_exploratory
2019,<1,HRV,humi,10,-0.4787878787878787,0.1615229280174558,0.4693828677430339,0.4542832350490944,False,computed_exploratory
2019,<1,HRV,PM2.5,10,0.0787878787878787,0.8287173946974606,0.932993093368002,0.8654768529253354,False,computed_exploratory
2019,<1,HRV,PM10,10,0.2969696969696969,0.4047016712701569,0.7388096310406082,0.6594257484641274,False,computed_exploratory
2019,<1,HRV,NO2,10,-0.3818181818181818,0.2762553333854359,0.6550787393344795,0.5542102137276133,False,computed_exploratory
