pathogen,lag,test_n,rf_rmse,rf_r2,persistence_rmse,persistence_r2,seasonal_naive_rmse,seasonal_naive_r2,cv_mean_rmse,cv_mean_r2,selected_by_training_cv
FluA,0,41,3.677198646383412,0.7473156501952825,2.8752040187935703,0.8455167153763249,11.178070415725475,-1.3349513888495743,8.73327309660894,-9.375916600980128,True
FluA,1,42,3.4774138152733483,0.7703917966465563,2.8432480314803983,0.8465014970501585,11.182032430261144,-1.3741936817010547,8.849817417549456,-9.154424537881052,False
FluA,2,43,4.969207472098414,0.5370867216747338,2.9102879226147773,0.8412194531810945,11.272875163753644,-1.382290804898985,9.01450988571602,-3.937891182081565,False
FluA,3,44,6.642977056180103,0.1882886198656235,2.881749500387765,0.8472474099016254,11.448744924807087,-1.4109704577201525,12.214284625682785,-13.067225704051795,False
FluA,4,45,7.539902794851715,-0.0096179045041375,2.869026269954705,0.853817764349508,11.635505712923122,-1.4043410831131369,12.809751073951162,-12.828171134740812,False
FluB,0,41,1.184238367788074,-0.2458172746659062,0.7304865167433141,0.5259758132505714,3.8192196929760143,-11.95762405688998,5.138716813447113,-1.2264787508944408,True
FluB,1,42,1.165262288203211,-0.2276780798319964,0.7230677529208354,0.527289656151475,3.780500310880499,-11.922176686470332,5.223675498826742,-0.9547673494011626,False
FluB,2,43,1.4048035868890083,-0.7490219074190061,0.7280734254111044,0.5301985058419614,3.754261183757096,-11.49145422240169,5.75287173533121,-0.7455675210601721,False
FluB,3,44,1.6109574353290603,-1.353027003234757,0.7554161092976558,0.4825942345645133,3.713751041814911,-11.505018919325476,6.127249515274123,-1.249160272896602,False
FluB,4,45,1.6485739981716552,-1.5197830279218951,0.7469763695827492,0.4826791512880545,3.6746665853384415,-11.519360214836096,6.216536846204344,-1.4938307097516128,False
RSV,0,41,3.839794929900688,0.7988260533621943,3.022340637898412,0.8753642889687756,10.799632424245877,-0.59137899929197,5.794868466008774,-2.3792646024857382,False
RSV,1,42,3.905939937305402,0.7870990774957748,3.210461847872057,0.8561660364252148,10.836119991806392,-0.6386040831058868,4.959055091606733,-1.2113552874381452,False
RSV,2,43,4.982331430265243,0.6453420429530057,3.188702431317221,0.8547311608605714,10.758183294984802,-0.6535691415768672,4.676193103199393,-2.273243794897785,True
RSV,3,44,5.866748814526478,0.4989098506154998,3.200464525196473,0.8508762170561462,10.68013419654257,-0.6606354173188047,5.061745738429895,-2.836766810914102,False
RSV,4,45,6.349902066875686,0.4043252631868856,3.1718769546471863,0.851369550885823,10.57329016123916,-0.6515640779989866,5.41596888913092,-3.5028885352580046,False
ADV,0,41,2.1920287944157755,-1.852090154662441,1.7550799729772977,-0.8283719971491434,3.2527154557535782,-5.280046892888155,3.607955566948351,-9.53843350968389,True
ADV,1,42,2.131368754876903,-1.7591898517976872,1.739053443459304,-0.8369200377113315,3.2175373522972324,-5.287986330450853,3.9016597546829344,-11.714349350752777,False
ADV,2,43,2.2673595181463124,-2.190187370148416,1.7216190523835315,-0.839287142198347,3.2565919954202607,-5.581154957691431,4.194473471666291,-14.111340855137271,False
ADV,3,44,2.969772807031145,-4.46679021867658,1.720942486229918,-0.8357716938828197,3.2231054036983338,-5.439245345018554,4.170300222851013,-17.384601084037577,False
ADV,4,45,3.519772741002494,-6.849908839093176,1.7158269609167354,-0.8654445381690923,3.213841941193514,-5.544619384347307,4.401337215803116,-15.124828874937446,False
PIV,0,39,2.972581887455178,-0.0062667036016292,4.42610746973122,-1.2309475375404055,2.8769968714514857,0.0574069628375149,2.1675351190119625,-0.4375071391659463,False
PIV,1,40,3.219385720288443,-0.192640658354293,4.370430945601387,-1.1979211556794822,2.889283821496406,0.039396874088729,2.1675217545074736,-0.4501446402352269,True
PIV,2,40,2.991984975919026,-0.0301071481549495,4.357464086903023,-1.1848982505485617,2.8759833970407063,0.048220529236334,2.309593938055831,-0.7654923065948116,False
PIV,3,41,3.0703377593709096,-0.0964449928359028,4.316803995083743,-1.167400659353563,2.869432685795684,0.0423504180131848,2.3097240973598483,-0.7710046169923024,False
PIV,4,42,2.8819122706707896,0.0093650706966036,4.191056743016866,-1.0950732231674345,2.86354311231081,0.0219533346072947,2.2575619233038324,-0.6359177627036751,False
HRV,0,41,4.068265150234525,0.5139562995915457,3.6901174717723735,0.600113077783246,10.08325812515044,-1.9857853841636013,5.736952653317599,-2.059448820529608,False
HRV,1,42,4.113182961665451,0.5285180412634494,3.6461910647156968,0.6295002939334156,10.361175808926005,-1.9917624613905955,5.644105434534259,-1.9345143272226493,False
